Name,Category,Beginning,Production,Purchase Order,Usage,Transfer,Adjustment,Ending,Unit
Air,Bahan Baku Bar,-280.0,0.0,0.0,0.0,0.0,0.0,-280.0,millilitre (ml)
almond,BB Kitchen,129.0,0.0,1000.0,-60.0,0.0,0.0,1069.0,gram (g)
almond dukkah,BB Kitchen,34.0,0.0,0.0,-80.0,0.0,76.0,30.0,gram (g)
ALMOND MILK,Bahan Baku Bar,1300.0,0.0,3000.0,-460.0,0.0,0.0,3840.0,millilitre (ml)
anchovies,BB Kitchen,35.0,0.0,0.0,0.0,0.0,0.0,35.0,gram (g)
avo smashed,BB Kitchen,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,pieces (pcs)
avocado,BB Kitchen,1419.0,0.0,6000.0,-1426.2,0.0,0.0,5992.8,gram (g)
baby romain,BB Kitchen,330.0,0.0,500.0,-330.0,0.0,0.0,500.0,gram (g)
bacon,BB Kitchen,1234.0,0.0,0.0,-425.0,0.0,0.0,809.0,gram (g)
baking powder,BB Kitchen,112.0,0.0,0.0,-10.0,0.0,0.0,102.0,gram (g)
Banana Fresh,Bahan Baku Bar,621.0,0.0,1700.0,-300.0,0.0,-155.0,1866.0,gram (g)
basil,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
beef patty,BB Kitchen,0.0,12.0,0.0,0.0,0.0,0.0,12.0,pieces (pcs)
Biokul Yogurt Plant,Bahan Baku Bar,-10.0,0.0,0.0,-156.0,0.0,142.0,-24.0,gram (g)
black pepper,BB Kitchen,539.0,0.0,0.0,-35.870000000000005,0.0,0.0,503.13,gram (g)
black sesame seed,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
Blue Curacao Syrup,Bahan Baku Bar,768.0,0.0,0.0,0.0,0.0,0.0,768.0,millilitre (ml)
Blue Spirulina,Bahan Baku Bar,115.0,0.0,0.0,-3.0,0.0,-9.0,103.0,gram (g)
BODYKEY Berry Protein,Bahan Baku Bar,1326.0,0.0,0.0,0.0,0.0,0.0,1326.0,gram (g)
BODYKEY CafeLatte Protein,Bahan Baku Bar,357.0,0.0,0.0,-10.0,0.0,0.0,347.0,gram (g)
BODYKEY Chocolate Protein,Bahan Baku Bar,969.0,0.0,0.0,0.0,0.0,0.0,969.0,gram (g)
bratwurst sausage,BB Kitchen,600.0,0.0,0.0,0.0,0.0,0.0,600.0,gram (g)
Brow Sugar Sachet,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pieces (pcs)
butterscotch Syrup,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,millilitre (ml)
buttom mushroom,BB Kitchen,326.0,0.0,0.0,-80.0,0.0,0.0,246.0,gram (g)
caesar ds,BB Kitchen,250.0,0.0,0.0,-90.0,0.0,0.0,160.0,gram (g)
carrot,BB Kitchen,624.0,0.0,0.0,-40.0,0.0,0.0,584.0,gram (g)
